uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,case_total
DPSRT00004D,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00004E,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00004F,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000050,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000051,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000052,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000053,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000054,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000055,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000056,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000057,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000058,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000059,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00005A,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00005B,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00005C,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00005D,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00005E,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00005F,W,2008-02-25,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000060,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000061,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000062,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000063,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000064,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000065,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000066,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000067,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000068,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000069,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00006A,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00006B,W,2008-03-03,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00006C,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
